#LB_label,#LA_label,#ID,ChargeTransfer,la_nB,nO,la_C-026,la_nHAcc,C-041,la_AMW,AMW,la_Mv,nPyrroles,TPSA(NO),la_Me,nRSR,nCt,nHDon,C-035,nPyridines,C-006,Total_MW,nCIR,la_nH,nBT,nR=Cs,la_Mp,nRNHR,nRCONR2,C-020,nCrt,RBN,C-033,nRNH2,Ui,nArNH2,H-051,nC,nR=Ct,nPyrazines,nCL,F-085,C-002,H-047,nBnz,ALOGP,AMR,nR08,nR12,nR09,C-005,C-027,C-028,C-019,C-016,la_nBT,la_H-050,la_Hy,la_nCL,la_nBO,la_F-084,la_nX,la_nSK,MW,la_nBnz,la_ARR,la_nC,la_nHM,la_MLOGP,la_Ms,la_nAT,la_nAB,la_nBM
5,11,C9H9N3OS:BI3,-0.15244,1,1,0,0,0,97.88,9.01,1.49,0,67.89,0.97,1,1,0,0,0,0,598.79,1,0,23,1,2.71,0,1,0,0,2,0,0,2.322,0,1,9,0,0,0,0,0,7,0,0.772,53.673,0,0,0,1,0,0,0,1,3,0,0.0,0,3,0,3,4,207.28,0,0.0,0,0,2.604,1.92,4,0,0
6,1,C5H5NO2S:AlCl3,-0.10348,0,2,0,0,1,33.33,10.23,1.16,0,39.07,1.1,0,0,0,0,0,0,276.51,1,0,14,1,1.89,0,0,0,0,0,0,0,2.0,0,0,5,0,0,0,0,0,5,0,0.714,35.349,0,0,0,1,0,0,1,0,3,0,0.0,3,3,0,3,4,143.18,0,0.0,0,1,1.364,3.28,4,0,0
6,2,C5H5NO2S:AlH3,-0.0668,0,2,0,0,1,7.5,10.23,0.63,0,39.07,0.86,0,0,0,0,0,0,173.19,1,3,14,1,1.25,0,0,0,0,0,0,0,2.0,0,0,5,0,0,0,0,0,5,0,0.714,35.349,0,0,0,1,0,0,1,0,3,3,0.0,0,0,0,0,1,143.18,0,0.0,0,1,-1.041,2.0,4,0,0
6,3,C5H5NO2S:C18F15Al,-0.09806,0,2,15,15,1,15.53,10.23,0.76,0,39.07,1.19,0,0,0,0,0,0,671.34,1,0,14,1,0.78,0,0,0,0,0,0,0,2.0,0,0,5,0,0,0,0,0,5,0,0.714,35.349,0,0,0,1,0,0,1,0,36,0,-0.525,0,36,15,15,34,143.18,3,0.5,18,1,7.875,4.43,34,18,18
6,4,C5H5NO2S:C3H9Al,-0.01694,0,2,0,0,1,5.55,10.23,0.56,0,39.07,0.93,0,0,0,0,0,0,215.28,1,9,14,1,0.79,0,0,0,0,0,0,0,2.0,0,0,5,0,0,0,0,0,5,0,0.714,35.349,0,0,0,1,0,0,1,0,12,0,-0.646,0,3,0,0,4,143.18,0,0.0,3,1,1.364,1.69,13,0,0
6,5,C5H5NO2S:C2H5AlCl2,-0.0772,0,2,0,0,1,12.7,10.23,0.71,0,39.07,0.99,0,0,0,0,0,0,270.13,1,5,14,1,1.02,0,0,0,0,0,0,0,2.0,0,0,5,0,0,0,0,0,5,0,0.714,35.349,0,0,0,1,0,0,1,0,9,0,-0.359,2,4,0,2,5,143.18,0,0.0,2,1,1.817,2.5,10,0,0
6,6,C5H5NO2S:BH3,-0.21602,1,2,0,0,1,3.46,10.23,0.42,0,39.07,0.91,0,0,0,0,0,0,157.02,1,3,14,1,0.72,0,0,0,0,0,0,0,2.0,0,0,5,0,0,0,0,0,5,0,0.714,35.349,0,0,0,1,0,0,1,0,3,3,0.0,0,0,0,0,1,143.18,0,0.0,0,0,-1.041,2.0,4,0,0
6,7,C5H5NO2S:BF3,0.001,1,2,0,3,1,16.95,10.23,0.51,0,39.07,1.3,0,0,0,0,0,0,210.99,1,0,14,1,0.67,0,0,0,0,0,0,0,2.0,0,0,5,0,0,0,0,0,5,0,0.714,35.349,0,0,0,1,0,0,1,0,3,0,0.0,0,3,0,3,4,143.18,0,0.0,0,0,0.546,6.33,4,0,0
6,8,C5H5NO2S:BCl3,-0.00338,1,2,0,0,1,29.29,10.23,0.95,0,39.07,1.16,0,0,0,0,0,0,260.34,1,0,14,1,1.36,0,0,0,0,0,0,0,2.0,0,0,5,0,0,0,0,0,5,0,0.714,35.349,0,0,0,1,0,0,1,0,3,0,0.0,3,3,0,3,4,143.18,0,0.0,0,0,1.364,3.42,4,0,0
6,9,C5H5NO2S:BBr3,-0.00204,1,2,0,0,1,62.63,10.23,1.24,0,39.07,1.09,0,0,0,0,0,0,393.69,1,0,14,1,1.73,0,0,0,0,0,0,0,2.0,0,0,5,0,0,0,0,0,5,0,0.714,35.349,0,0,0,1,0,0,1,0,3,0,0.0,0,3,0,3,4,143.18,0,0.0,0,0,2.026,2.4,4,0,0
