#LB_label,#LA_label,#ID,ChargeTransfer,la_Me,la_nB,nO,la_nHM,la_Ui,la_nHAcc,la_AMW,C-041,AMW,nPyrroles,la_Mv,TPSA(NO),la_nF,nRSR,nCt,nHDon,C-033,nPyridines,C-006,la_nX,la_Ms,H-051,nX,la_MW,la_Mp,la_nAB,nF,C-027,nPyrazines,la_C-026,nCIC,ARR,H-049,nArNH2,nH,RBF,la_F-084,nRCO,nCrt,Total_MW,la_nBM,la_nBnz,la_LAI,la_ARR,la_RBF
6,4,C5H5NO2S:C3H9Al,-0.01694,0.93,0,2,1,0.0,0,5.55,1,10.23,0,0.56,39.07,0,0,0,0,0,0,0,0,1.69,0,0,72.1,0.79,0,0,0,0,0,1,0.0,0,0,5,0.0,0,0,0,215.28,0,0,0,0.0,0.0
6,5,C5H5NO2S:C2H5AlCl2,-0.0772,0.99,0,2,1,0.0,0,12.7,1,10.23,0,0.71,39.07,0,0,0,0,0,0,0,2,2.5,0,0,126.95,1.02,0,0,0,0,0,1,0.0,0,0,5,0.0,0,0,0,270.13,0,0,0,0.0,0.0
6,6,C5H5NO2S:BH3,-0.21602,0.91,1,2,0,0.0,0,3.46,1,10.23,0,0.42,39.07,0,0,0,0,0,0,0,0,2.0,0,0,13.84,0.72,0,0,0,0,0,1,0.0,0,0,5,0.0,0,0,0,157.02,0,0,0,0.0,0.0
6,7,C5H5NO2S:BF3,0.001,1.3,1,2,0,0.0,3,16.95,1,10.23,0,0.51,39.07,3,0,0,0,0,0,0,3,6.33,0,0,67.81,0.67,0,0,0,0,0,1,0.0,0,0,5,0.0,0,0,0,210.99,0,0,0,0.0,0.0
6,8,C5H5NO2S:BCl3,-0.00338,1.16,1,2,0,0.0,0,29.29,1,10.23,0,0.95,39.07,0,0,0,0,0,0,0,3,3.42,0,0,117.16,1.36,0,0,0,0,0,1,0.0,0,0,5,0.0,0,0,0,260.34,0,0,0,0.0,0.0
6,9,C5H5NO2S:BBr3,-0.00204,1.09,1,2,0,0.0,0,62.63,1,10.23,0,1.24,39.07,0,0,0,0,0,0,0,3,2.4,0,0,250.51,1.73,0,0,0,0,0,1,0.0,0,0,5,0.0,0,0,0,393.69,0,0,0,0.0,0.0
7,1,C5H5NOS2:AlCl3,-0.10176,1.1,0,1,1,0.0,0,33.33,1,11.38,0,1.16,22.0,0,0,0,0,0,0,0,3,3.28,0,0,133.33,1.89,0,0,0,0,0,1,0.0,0,0,5,0.0,0,0,0,292.58,0,0,0,0.0,0.0
7,2,C5H5NOS2:AlH3,-0.05672,0.86,0,1,1,0.0,0,7.5,1,11.38,0,0.63,22.0,0,0,0,0,0,0,0,0,2.0,0,0,30.01,1.25,0,0,0,0,0,1,0.0,0,0,5,0.0,0,0,0,189.26,0,0,0,0.0,0.0
7,3,C5H5NOS2:C18F15Al,-0.09608,1.19,0,1,1,4.248,15,15.53,1,11.38,0,0.76,22.0,15,0,0,0,0,0,0,15,4.43,0,0,528.16,0.78,18,0,0,0,15,1,0.0,0,0,5,0.0,15,0,0,687.41,18,3,1,0.5,0.083
7,4,C5H5NOS2:C3H9Al,-0.00936,0.93,0,1,1,0.0,0,5.55,1,11.38,0,0.56,22.0,0,0,0,0,0,0,0,0,1.69,0,0,72.1,0.79,0,0,0,0,0,1,0.0,0,0,5,0.0,0,0,0,231.35,0,0,0,0.0,0.0
7,5,C5H5NOS2:C2H5AlCl2,-0.07284,0.99,0,1,1,0.0,0,12.7,1,11.38,0,0.71,22.0,0,0,0,0,0,0,0,2,2.5,0,0,126.95,1.02,0,0,0,0,0,1,0.0,0,0,5,0.0,0,0,0,286.2,0,0,0,0.0,0.0
