#LB_label,ChargeTransfer,MW,AMW,Mv,Me,Mp,Ms,nAT,nSK,nBT,nBO,nBM,SCBO,ARR,nCIC,nCIR,RBN,RBF,nDB,nAB,nH,nC,nN,nO,nS,nF,nCL,nX,nR05,nR06,nR08,nR09,nR10,nR12,nBnz,nCp,nCs,nCt,nCq,nCrt,nCar,nCbH,nCb-,nCconj,nR=Cp,nR=Cs,nR=Ct,nRCONHR,nRCONR2,nROCON,nRCO,nArCO,nCONN,nRNH2,nArNH2,nRNHR,nArNHR,nRNR2,nArNR2,nRCN,nN(CO)2,nRSR,nArX,nCXr=,nCconjX,nPyrrolidines,nPyrroles,nThiophenes,nPyridines,nPyrazines,nHDon,nHAcc,C-001,C-002,C-005,C-006,C-008,C-016,C-018,C-019,C-020,C-024,C-025,C-026,C-027,C-028,C-033,C-034,C-035,C-040,C-041,H-046,H-047,H-048,H-049,H-051,H-052,N-072,N-075,F-084,F-085,S-107,S-108,Ui,Hy,AMR,TPSA(NO),TPSA(Tot),MLOGP,ALOGP
32,-0.00182,172.23,9.06,0.63,1.03,0.68,2.95,19,11,19,11,3,14,0,1,1,0,0,3,0,8,6,2,2,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,0,0,1,0,2,0,0,0,0,1,2,0.057,43.437,49.41,81.5,-0.46,0.52
33,-0.00266,129.15,11.74,0.7,1.07,0.76,3.29,11,8,11,8,3,11,0,1,1,0,0,3,0,3,4,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,1,0,2,0.197,30.453,49.93,78.17,-0.31,0.508
34,-0.0035,145.22,13.2,0.75,1.04,0.87,2.88,11,8,11,8,3,11,0,1,1,0,0,3,0,3,4,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,1,1,2,0.197,38.443,32.86,93.19,-0.286,1.407
35,-0.2929,85.17,5.01,0.53,0.97,0.58,1.67,17,6,17,6,0,6,0,1,1,0,0,0,0,11,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,-0.767,27.528,3.24,3.24,0.817,0.781
36,-0.2915,113.23,4.92,0.53,0.97,0.58,1.71,23,8,23,8,0,8,0,1,1,0,0,0,0,15,7,1,0,0,0,0,0,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,-0.828,36.365,3.24,3.24,1.548,1.536
37,-0.28658,99.2,4.96,0.53,0.97,0.58,1.64,20,7,20,7,0,7,0,1,1,0,0,0,0,13,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,4,0,0,0,0,0,0,0,-0.802,32.129,3.24,3.24,1.195,1.237
38,-0.28988,127.26,4.89,0.53,0.97,0.58,1.69,26,9,26,9,0,9,0,1,1,0,0,0,0,17,8,1,0,0,0,0,0,0,1,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,10,0,0,0,0,0,0,0,-0.848,40.966,3.24,3.24,1.882,1.992
39,-0.2695,218.32,10.92,0.77,1.01,0.84,2.02,20,14,22,16,15,23.5,0.938,3,4,1,0.045,0,15,6,10,2,0,2,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,10,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,5,1,0,0,2,1,1,0,0,0,0,5,1,0,0,0,0,2,0,0,2,0,4,-0.696,62.549,25.78,82.26,2.094,3.43
40,-0.27276,340.52,10.02,0.74,1,0.82,1.91,34,22,38,26,20,36,0.769,5,9,1,0.026,0,20,12,17,2,0,3,0,0,0,4,1,2,1,0,0,1,2,0,0,1,0,14,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,5,3,0,0,2,1,3,0,0,0,6,5,1,0,0,0,0,2,0,0,3,0,4.392,-0.762,99.099,25.78,110.5,4.329,5.796
41,-0.26512,236.31,11.82,0.77,1.03,0.84,2.4,20,15,22,17,15,24.5,0.882,3,4,1,0.045,0,15,5,10,2,0,2,1,0,1,2,1,0,1,0,0,1,0,0,0,0,0,10,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,4,1,1,0,2,1,1,0,0,0,0,4,1,0,0,0,0,2,1,0,2,0,4,-0.651,62.765,25.78,82.26,2.509,3.635
