#PDF_File,Minimum_Capacity(mAh),Nomial_Voltage(V),Charge_Voltage(V),Charge_Current(mAh),Dicharge_Voltage(V),Discharge_Current,Cycle,Remaining_Capacity(mAh)
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,222.3954642,930.7496823
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,225.7973069,929.1613723
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,233.8766832,927.5730623
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,242.3812899,925.9847522
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,245.7831325,924.3964422
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,250.6732814,922.8081321
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,255.1381999,921.2198221
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,264.0680369,919.6315121
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,274.0609497,916.454892
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,278.7384833,914.866582
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,283.8412473,913.2782719
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,292.9836995,911.6899619
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,301.275691,908.5133418
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,304.6775337,906.9250318
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,308.5046067,905.3367217
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,315.0956768,903.7484117
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,318.7101347,902.1601017
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,322.1119773,900.5717916
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,329.1282778,897.3951715
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,335.719348,895.8068615
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,339.3338058,894.2185515
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,342.9482636,892.6302414
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,351.02764,889.4536213
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,357.6187101,887.8653113
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,360.3827073,886.2770013
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,363.78455,884.6886912
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,366.7611623,883.1003812
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,373.1396173,881.5120712
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,380.7937633,878.3354511
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,384.4082211,876.747141
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,388.2352941,875.158831
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,394.6137491,873.570521
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,398.4408221,871.9822109
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,403.1183558,870.3939009
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,408.6463501,868.8055909
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,415.0248051,867.2172808
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,425.6555634,865.6289708
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,431.3961729,864.0406607
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,437.1367824,862.4523507
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,449.2558469,859.2757306
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,460.0992204,857.6874206
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,465.8398299,856.0991105
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,471.5804394,854.5108005
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,475.8327427,852.9224905
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,484.5499646,851.3341804
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,495.1807229,849.7458704
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,497.9447201,848.1575604
datasheet_36.pdf,2780,3.7,4.2,2780,2.75,2780,0.213068182,2860.791826
datasheet_36.pdf,2780,3.7,4.2,2780,2.75,2780,0.852272727,2856.321839
datasheet_36.pdf,2780,3.7,4.2,2780,2.75,2780,1.491477273,2851.851852
datasheet_36.pdf,2780,3.7,4.2,2780,2.75,2780,3.409090909,2842.911877
datasheet_36.pdf,2780,3.7,4.2,2780,2.75,2780,5.965909091,2838.44189
datasheet_36.pdf,2780,3.7,4.2,2780,2.75,2780,7.457386364,2833.971903
datasheet_36.pdf,2780,3.7,4.2,2780,2.75,2780,8.948863636,2829.501916
datasheet_36.pdf,2780,3.7,4.2,2780,2.75,2780,11.93181818,2820.561941
datasheet_36.pdf,2780,3.7,4.2,2780,2.75,2780,14.70170455,2816.091954
datasheet_36.pdf,2780,3.7,4.2,2780,2.75,2780,15.98011364,2811.621967
datasheet_36.pdf,2780,3.7,4.2,2780,2.75,2780,17.47159091,2807.15198
datasheet_36.pdf,2780,3.7,4.2,2780,2.75,2780,21.73295455,2798.212005
datasheet_36.pdf,2780,3.7,4.2,2780,2.75,2780,25.99431818,2789.272031
datasheet_36.pdf,2780,3.7,4.2,2780,2.75,2780,27.91193182,2784.802043
datasheet_36.pdf,2780,3.7,4.2,2780,2.75,2780,29.82954545,2780.332056
datasheet_36.pdf,2780,3.7,4.2,2780,2.75,2780,33.45170455,2775.862069
datasheet_36.pdf,2780,3.7,4.2,2780,2.75,2780,37.28693182,2766.922095
datasheet_36.pdf,2780,3.7,4.2,2780,2.75,2780,39.88636364,2762.452107
datasheet_36.pdf,2780,3.7,4.2,2780,2.75,2780,43.46590909,2757.98212
datasheet_36.pdf,2780,3.7,4.2,2780,2.75,2780,47.72727273,2753.512133
datasheet_36.pdf,2780,3.7,4.2,2780,2.75,2780,52.84090909,2744.572158
datasheet_36.pdf,2780,3.7,4.2,2780,2.75,2780,55.39772727,2740.102171
datasheet_36.pdf,2780,3.7,4.2,2780,2.75,2780,57.95454545,2735.632184
datasheet_36.pdf,2780,3.7,4.2,2780,2.75,2780,64.98579545,2731.162197
datasheet_36.pdf,2780,3.7,4.2,2780,2.75,2780,70.3125,2726.692209
