#LB_label,#LA_label,#ID,ChargeTransfer,N#R,R-N(-R)-R,R--N--R,R-N=R,R-NH-R,NH2-R,NH3,O=R,S=R,R-S-R,R--S--R,nN(CO)2,C-041,nH,la_MW,la_AMW,la_Mv,la_Me,la_Mp,la_Ms,la_nAT,la_nSK,la_nBT,la_nBO,la_nBM,la_SCBO,la_ARR,la_RBF,la_nAB,la_nH,la_nC,la_nF,la_nCL,la_nB,la_nHM,la_nX,la_nBnz,la_nHAcc,la_C-026,la_H-050,la_F-084,la_Ui,la_Hy,la_MLOGP,la_LAI
8,1,C5H3N3S:AlCl3,-0.1511,0,0,3,0,0,0,0,0,0,0,1,0,0,3,133.33,33.33,1.16,1.1,1.89,3.28,4,4,3,3,0,3,0,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,1.364,0
8,2,C5H3N3S:AlH3,-0.13718,0,0,3,0,0,0,0,0,0,0,1,0,0,3,30.01,7.5,0.63,0.86,1.25,2,4,1,3,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,3,0,0,0,-1.041,0
8,3,C5H3N3S:C18F15Al,-0.16052,0,0,3,0,0,0,0,0,0,0,1,0,0,3,528.16,15.53,0.76,1.19,0.78,4.43,34,34,36,36,18,45,0.5,0.083,18,0,18,15,0,0,1,15,3,15,15,0,15,4.248,-0.525,7.875,1
8,4,C5H3N3S:C3H9Al,-0.12624,0,0,3,0,0,0,0,0,0,0,1,0,0,3,72.1,5.55,0.56,0.93,0.79,1.69,13,4,12,3,0,3,0,0,0,9,3,0,0,0,1,0,0,0,0,0,0,0,-0.646,1.364,0
8,5,C5H3N3S:C2H5AlCl2,-0.14268,0,0,3,0,0,0,0,0,0,0,1,0,0,3,126.95,12.7,0.71,0.99,1.02,2.5,10,5,9,4,0,4,0,0,0,5,2,0,2,0,1,2,0,0,0,0,0,0,-0.359,1.817,0
8,6,C5H3N3S:BH3,-0.2971,0,0,3,0,0,0,0,0,0,0,1,0,0,3,13.84,3.46,0.42,0.91,0.72,2,4,1,3,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,3,0,0,0,-1.041,0
8,7,C5H3N3S:BF3,-0.2868,0,0,3,0,0,0,0,0,0,0,1,0,0,3,67.81,16.95,0.51,1.3,0.67,6.33,4,4,3,3,0,3,0,0,0,0,0,3,0,1,0,3,0,3,0,0,0,0,0,0.546,0
8,8,C5H3N3S:BCl3,-0.2963,0,0,3,0,0,0,0,0,0,0,1,0,0,3,117.16,29.29,0.95,1.16,1.36,3.42,4,4,3,3,0,3,0,0,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0,1.364,0
8,9,C5H3N3S:BBr3,-0.269,0,0,3,0,0,0,0,0,0,0,1,0,0,3,250.51,62.63,1.24,1.09,1.73,2.4,4,4,3,3,0,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2.026,0
8,10,C5H3N3S:C18BF15,-0.3492,0,0,3,0,0,0,0,0,0,0,1,0,0,3,511.99,15.06,0.73,1.2,0.72,4.45,34,34,36,36,18,45,0.5,0.083,18,0,18,15,0,1,0,15,3,15,18,0,15,4.248,-0.525,7.875,1
8,11,C5H3N3S:BI3,-0.19578,0,0,3,0,0,0,0,0,0,0,1,0,0,3,391.51,97.88,1.49,0.97,2.71,1.92,4,4,3,3,0,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2.604,0
8,12,C5H3N3S:O2S,-0.10498,0,0,3,0,0,0,0,0,0,0,1,0,0,3,64.07,21.36,0.7,1.24,0.85,5.28,3,3,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1.585,0,-2.379,0
9,1,C16H10N2S2:AlCl3,-0.17646,0,0,2,0,0,0,0,0,0,2,0,0,0,10,133.33,33.33,1.16,1.1,1.89,3.28,4,4,3,3,0,3,0,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,1.364,0
9,2,C16H10N2S2:AlH3,-0.16576,0,0,2,0,0,0,0,0,0,2,0,0,0,10,30.01,7.5,0.63,0.86,1.25,2,4,1,3,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,3,0,0,0,-1.041,0
