#PDF_File,Minimum_Capacity(mAh),Nomial_Voltage(V),Charge_Voltage(V),Charge_Current(mAh),Dicharge_Voltage(V),Discharge_Current,Cycle,Remaining_Capacity(mAh)
datasheet_16,1660,3.7,4.2,1660,2.75,1660,271.9943423,1419.191919
datasheet_16,1660,3.7,4.2,1660,2.75,1660,282.602546,1414.141414
datasheet_16,1660,3.7,4.2,1660,2.75,1660,296.6053748,1409.090909
datasheet_16,1660,3.7,4.2,1660,2.75,1660,306.7892504,1404.040404
datasheet_16,1660,3.7,4.2,1660,2.75,1660,316.1244696,1398.989899
datasheet_16,1660,3.7,4.2,1660,2.75,1660,324.1867044,1393.939394
datasheet_16,1660,3.7,4.2,1660,2.75,1660,332.2489392,1388.888889
datasheet_16,1660,3.7,4.2,1660,2.75,1660,341.5841584,1383.838384
datasheet_16,1660,3.7,4.2,1660,2.75,1660,350.4950495,1378.787879
datasheet_16,1660,3.7,4.2,1660,2.75,1660,360.678925,1373.737374
datasheet_16,1660,3.7,4.2,1660,2.75,1660,368.3168317,1368.686869
datasheet_16,1660,3.7,4.2,1660,2.75,1660,377.2277228,1363.636364
datasheet_16,1660,3.7,4.2,1660,2.75,1660,386.562942,1358.585859
datasheet_16,1660,3.7,4.2,1660,2.75,1660,395.049505,1353.535354
datasheet_16,1660,3.7,4.2,1660,2.75,1660,407.9425525,1348.484848
datasheet_16,1660,3.7,4.2,1660,2.75,1660,427.7227723,1343.434343
datasheet_16,1660,3.7,4.2,1660,2.75,1660,446.8175389,1338.383838
datasheet_16,1660,3.7,4.2,1660,2.75,1660,461.669024,1333.333333
datasheet_16,1660,3.7,4.2,1660,2.75,1660,476.096181,1328.282828
datasheet_16,1660,3.7,4.2,1660,2.75,1660,495.1909477,1323.232323
datasheet_17,1800,3.8,4.35,1800,3,1800,0.853485064,1794.871795
datasheet_17,1800,3.8,4.35,1800,3,1800,1.706970128,1789.74359
datasheet_17,1800,3.8,4.35,1800,3,1800,2.560455192,1784.615385
datasheet_17,1800,3.8,4.35,1800,3,1800,3.413940256,1779.487179
datasheet_17,1800,3.8,4.35,1800,3,1800,4.26742532,1774.358974
datasheet_17,1800,3.8,4.35,1800,3,1800,5.547652916,1769.230769
datasheet_17,1800,3.8,4.35,1800,3,1800,6.827880512,1764.102564
datasheet_17,1800,3.8,4.35,1800,3,1800,8.108108108,1758.974359
datasheet_17,1800,3.8,4.35,1800,3,1800,9.388335704,1753.846154
datasheet_17,1800,3.8,4.35,1800,3,1800,10.6685633,1748.717949
datasheet_17,1800,3.8,4.35,1800,3,1800,11.9487909,1743.589744
datasheet_17,1800,3.8,4.35,1800,3,1800,13.65576102,1738.461538
datasheet_17,1800,3.8,4.35,1800,3,1800,15.78947368,1733.333333
datasheet_17,1800,3.8,4.35,1800,3,1800,17.92318634,1728.205128
datasheet_17,1800,3.8,4.35,1800,3,1800,20.056899,1723.076923
datasheet_17,1800,3.8,4.35,1800,3,1800,22.19061166,1717.948718
datasheet_17,1800,3.8,4.35,1800,3,1800,23.47083926,1712.820513
datasheet_17,1800,3.8,4.35,1800,3,1800,26.45803698,1707.692308
datasheet_17,1800,3.8,4.35,1800,3,1800,29.44523471,1702.564103
datasheet_17,1800,3.8,4.35,1800,3,1800,32.0056899,1697.435897
datasheet_17,1800,3.8,4.35,1800,3,1800,34.56614509,1692.307692
datasheet_17,1800,3.8,4.35,1800,3,1800,37.98008535,1687.179487
datasheet_17,1800,3.8,4.35,1800,3,1800,41.82076814,1682.051282
datasheet_17,1800,3.8,4.35,1800,3,1800,44.80796586,1676.923077
datasheet_17,1800,3.8,4.35,1800,3,1800,49.07539118,1671.794872
datasheet_17,1800,3.8,4.35,1800,3,1800,53.76955903,1666.666667
datasheet_17,1800,3.8,4.35,1800,3,1800,60.59743954,1661.538462
datasheet_17,1800,3.8,4.35,1800,3,1800,67.42532006,1656.410256
datasheet_17,1800,3.8,4.35,1800,3,1800,73.82645804,1651.282051
datasheet_17,1800,3.8,4.35,1800,3,1800,80.65433855,1646.153846
datasheet_17,1800,3.8,4.35,1800,3,1800,87.90896159,1641.025641
datasheet_17,1800,3.8,4.35,1800,3,1800,100.7112376,1635.897436
datasheet_17,1800,3.8,4.35,1800,3,1800,117.7809388,1630.769231
datasheet_17,1800,3.8,4.35,1800,3,1800,132.2901849,1625.641026
datasheet_17,1800,3.8,4.35,1800,3,1800,147.6529161,1620.512821
datasheet_17,1800,3.8,4.35,1800,3,1800,158.3214794,1615.384615
datasheet_17,1800,3.8,4.35,1800,3,1800,174.1109531,1610.25641
datasheet_17,1800,3.8,4.35,1800,3,1800,189.4736842,1605.128205
datasheet_17,1800,3.8,4.35,1800,3,1800,205.6899004,1600
datasheet_17,1800,3.8,4.35,1800,3,1800,218.4921764,1594.871795
datasheet_17,1800,3.8,4.35,1800,3,1800,231.7211949,1589.74359
datasheet_17,1800,3.8,4.35,1800,3,1800,245.8036984,1584.615385
datasheet_17,1800,3.8,4.35,1800,3,1800,261.1664296,1579.487179
datasheet_17,1800,3.8,4.35,1800,3,1800,276.9559033,1574.358974
datasheet_17,1800,3.8,4.35,1800,3,1800,291.0384068,1569.230769
