#PDF_File,f,Discharge_Current,a,Discharge_Current_Discharge_Current,a_a,Discharge_Current_a,Discharge_Current_Discharge_Current,a_a,Discharge_Current_Discharge_Current_Discharge_Current_Discharge_Current,a_a_a_a,Discharge_Current_a_Discharge_Current_a,Discharge_Current_a,Discharge_Current_Discharge_Current_Discharge_Current,Discharge_Current_a_a,Discharge_Current_Discharge_Current_a,a_Discharge_Current_Discharge_Current,a_a_a,a_Discharge_Current_a,Discharge_Current_Discharge_Current_a_a,Discharge_Current_Discharge_Current_Discharge_Current_a,a_a_Discharge_Current_a
datasheet_29,-1.5e-07,1.0,78.71334584,1.0,6195.790813327446,78.71334584,1.0,6195.790813327446,1.0,38387823.80251277,6195.790813327446,78.71334584,1.0,6195.790813327446,78.71334584,78.71334584,487691.42504173814,6195.790813327446,6195.790813327446,78.71334584,487691.42504173814
datasheet_3,-6.17e-29,1.0,268.0324611,1.0,71841.400203323,268.0324611,1.0,71841.400203323,1.0,5161186783.174019,71841.400203323,268.0324611,1.0,71841.400203323,268.0324611,268.0324611,19255827.305366702,71841.400203323,71841.400203323,268.0324611,19255827.305366702
datasheet_4,-2.13e-06,1.0,999.9999996,1.0,999999.9992000001,999.9999996,1.0,999999.9992000001,1.0,999999998400.0001,999999.9992000001,999.9999996,1.0,999999.9992000001,999.9999996,999.9999996,999999998.8000001,999999.9992000001,999999.9992000001,999.9999996,999999998.8000001
datasheet_5,-8.29e-22,0.5,106.2416034,0.25,11287.278293002892,53.1208017,0.25,11287.278293002892,0.0625,127402651.26369427,2821.819573250723,53.1208017,0.125,5643.639146501446,26.56040085,26.56040085,1199178.5438706423,5643.639146501446,2821.819573250723,13.280200425,599589.2719353212
datasheet_6,-1.35e-31,1.0,85.70319517,1.0,7345.037662347111,85.70319517,1.0,7345.037662347111,1.0,53949578.26129752,7345.037662347111,85.70319517,1.0,7345.037662347111,85.70319517,85.70319517,629493.196307135,7345.037662347111,7345.037662347111,85.70319517,629493.196307135
datasheet_7,-3.93e-30,1.0,75.25978033,1.0,5664.0345353198545,75.25978033,1.0,5664.0345353198545,1.0,32081287.217296,5664.0345353198545,75.25978033,1.0,5664.0345353198545,75.25978033,75.25978033,426273.9949097059,5664.0345353198545,5664.0345353198545,75.25978033,426273.9949097059
datasheet_8,-1.71e-07,1.0,126.4607078,1.0,15992.31061727698,126.4607078,1.0,15992.31061727698,1.0,255753998.87947002,15992.31061727698,126.4607078,1.0,15992.31061727698,126.4607078,126.4607078,2022398.9200183018,15992.31061727698,15992.31061727698,126.4607078,2022398.9200183018
datasheet_9,-2.91e-07,1.0,83.98643332,1.0,7053.720981814807,83.98643332,1.0,7053.720981814807,1.0,49754979.68929444,7053.720981814807,83.98643332,1.0,7053.720981814807,83.98643332,83.98643332,592416.8668970743,7053.720981814807,7053.720981814807,83.98643332,592416.8668970743
datasheet_30.pdf,-3.17e-30,1.0,117.653624,1.0,13842.375240333375,117.653624,1.0,13842.375240333375,1.0,191611352.29419446,13842.375240333375,117.653624,1.0,13842.375240333375,117.653624,117.653624,1628605.6117930925,13842.375240333375,13842.375240333375,117.653624,1628605.6117930925
datasheet_31.pdf,-4.35e-29,1.0,103.5448592,1.0,10721.537866747825,103.5448592,1.0,10721.537866747825,1.0,114951374.22810751,10721.537866747825,103.5448592,1.0,10721.537866747825,103.5448592,103.5448592,1110160.128819872,10721.537866747825,10721.537866747825,103.5448592,1110160.128819872
datasheet_32.pdf,-2.36e-07,1.0,110.934426,1.0,12306.446871949476,110.934426,1.0,12306.446871949476,1.0,151448634.61211506,12306.446871949476,110.934426,1.0,12306.446871949476,110.934426,110.934426,1365208.6198392108,12306.446871949476,12306.446871949476,110.934426,1365208.6198392108
datasheet_33.pdf,-1.45e-25,1.0,46.23044557,1.0,2137.2540976007326,46.23044557,1.0,2137.2540976007326,1.0,4567855.077711122,2137.2540976007326,46.23044557,1.0,2137.2540976007326,46.23044557,46.23044557,98806.20922839014,2137.2540976007326,2137.2540976007326,46.23044557,98806.20922839014
datasheet_34.pdf,-3.13e-25,1.0,129.3334906,1.0,16727.151790780288,129.3334906,1.0,16727.151790780288,1.0,279797607.0318042,16727.151790780288,129.3334906,1.0,16727.151790780288,129.3334906,129.3334906,2163380.9288976556,16727.151790780288,16727.151790780288,129.3334906,2163380.9288976556
datasheet_35.pdf,-2.56e-09,1.0,119.3622195,1.0,14247.339443966179,119.3622195,1.0,14247.339443966179,1.0,202986681.2315945,14247.339443966179,119.3622195,1.0,14247.339443966179,119.3622195,119.3622195,1700594.058001699,14247.339443966179,14247.339443966179,119.3622195,1700594.058001699
datasheet_36.pdf,-4.3700000000000004e-27,1.0,72.56246976,1.0,5265.312017670914,72.56246976,1.0,5265.312017670914,1.0,27723510.643429756,5265.312017670914,72.56246976,1.0,5265.312017670914,72.56246976,72.56246976,382064.0440592103,5265.312017670914,5265.312017670914,72.56246976,382064.0440592103
