,Decriptor,FI_LR,FI_RIDGE,FI_RF,FI_GB
51,nArCO,-1.9038563833053463,-1.086297766700607e-09,0.0003741621294734701,0.00021811250514583482
52,nCONN,-1.1924139845185353,-1.795007932920297e-10,0.00025196165170888503,7.704082738393293e-05
53,nRNH2,1.813710117121098,-4.970651847949845e-10,0.00018791068809341112,2.433201817894062e-05
54,nArNH2,4.024088012625089,-7.156038746993737e-10,0.00044091192235249185,0.00015843868884818789
55,nRNHR,0.42924068158790946,-1.509737024279867e-09,0.0004579535793314606,0.0002253894951410317
56,nArNHR,-0.027891210307885904,-3.9423723930150887e-10,0.00014448913384531589,5.054965732941563e-05
57,nRNR2,-4.824974831027003,-2.0500257051342605e-09,0.0010275412635052925,0.0005395186314351749
58,nArNR2,-1.9335759300056092,-3.223754625558565e-10,0.0002638192907904385,0.0004395079298350253
59,nRCN,-1.4202915325750711,-4.819534900622171e-09,0.0025613818792583963,0.0007345765343147776
60,nN(CO)2,0.06945883129457925,-9.109438678886604e-10,0.010119924553435657,0.014992317846950792
61,nRSR,-1.2874457741845484,-1.6067433468598942e-10,0.000255346740382521,8.792880368870877e-05
62,nArX,3.8577682605609476,-9.03130100656844e-09,0.0006084202703475048,0.003236417482298699
63,nCXr=,2.5100029224616485,-1.629270377286437e-09,0.0003970923377506687,0.0004915284795749242
64,nCconjX,2.423348658492999,-8.604346580297782e-10,0.00030711043749956254,6.692945862870463e-06
65,nPyrrolidines,0.9693991675750443,-7.495698713068653e-10,0.00012323944065166246,6.891924647531109e-05
66,nPyrroles,-1.619872524012266,-7.846404987135011e-10,0.0015959995976635585,0.0024145502174807544
67,nThiophenes,1.5334170988584952,-2.7680736113931116e-09,0.00037097921786331497,0.000528253572682778
68,nPyridines,0.02586949299125682,-1.151940284841957e-09,7.813986521818982e-05,4.365439541035734e-05
69,nPyrazines,1.091364073212364,-1.0749662550377745e-09,0.0002726956286616781,4.319531033176616e-05
70,nHDon,2.3885016076718943,-7.173459318710893e-09,0.0023604913002125438,0.0021187212247226056
71,nHAcc,2.463854824694555,-4.037617037324936e-08,0.0044721274189623945,0.0041832834773135935
72,C-001,-1.2264542197995496,-5.795194822241126e-09,0.0004505902480272651,0.0004788906055453222
73,C-002,-0.07965440707294175,-3.773284018783533e-09,0.000340658613747842,0.0018259147158154658
74,C-005,2.589831087752575,-5.782157106387183e-09,0.003149773508373575,0.004183034988790684
75,C-006,0.9315577751969215,-3.276483304654085e-09,0.0005252653170111015,0.00010468488130218703
76,C-008,0.8673013243965173,-1.8202624956721286e-09,0.0001676651342991077,1.8145334789361994e-05
77,C-016,-1.5572464320352817,-3.1585412056079716e-09,0.0004080941839207474,6.524680575437349e-05
78,C-018,3.138009840329403,-7.90584428004808e-10,8.075315249112547e-05,2.4016353522431986e-05
79,C-019,1.6516217097154169,-2.5072020526653166e-09,0.0009976316772969296,0.00010940496628717325
80,C-020,0.08665426396543753,-7.688357192566684e-10,0.00023264955944290205,2.7245713878082046e-05
81,C-024,-1.831966629461308,-3.270934405753625e-08,0.001678243606277051,0.0025825343474711786
82,C-025,-0.10930418709267829,-1.2304325012958673e-08,0.000977291692760832,0.000667406026910627
83,C-026,-1.9455707471618764,-1.1582834969802727e-08,0.0006564374958612641,0.004224623311183933
84,C-027,2.2776760410143404,-3.1530357685218502e-09,0.000514408316596933,0.00016270289332604037
85,C-028,-1.2166780663222234,-8.336663426489456e-09,0.001063875019227394,0.00019328921327835087
86,C-033,-0.7267912041305431,-2.8708682380702373e-09,0.0004439926581952714,0.0002383924903931058
87,C-034,-2.680246532366814,-3.897982421206269e-09,0.0005289097610655643,8.06294240010834e-05
88,C-035,3.2341268861812464,-3.36577560936711e-10,0.00361929058495282,0.008606845199311791
89,C-040,2.2452127243793987,-8.60073277596171e-09,0.007639741575377087,0.007758950863621226
90,C-041,-1.3035367349609877,-4.416199099172637e-10,0.010796391017970842,0.026382140710034113
91,H-046,-2.5859890688170517,-1.1722962552641175e-08,0.0008424007955333753,0.0006916936709403407
92,H-047,-0.15625944044312623,-6.97055242821356e-08,0.003705097469522111,0.002450225252321911
93,H-048,0.35188589378902574,-3.770220259266046e-09,0.0006712739277389082,0.0002702256289542225
94,H-049,0.7430512602264071,-3.959688796433552e-09,0.000538261980343133,3.846459269933908e-05
95,H-051,0.5230325547933538,-3.772844813431627e-09,0.000583105479711133,0.00040771658559240294
96,H-052,-1.6306960141296696,-1.0163699687262836e-08,0.0002572844912800148,0.00014042881475426767
97,N-072,1.700505299433516,-3.398339178896771e-09,0.009517800544821568,0.010375228272580448
98,N-075,0.6059035308726054,-9.076603105813286e-09,0.0021237905391795074,0.0004994484252631551
99,F-084,-1.5635138632663435,-8.562650036436427e-09,0.00036077746869500767,4.896530315394372e-05
100,F-085,-4.580194834932588,-2.0474502800318597e-09,0.0010326619014434822,0.00023932479771267883
101,S-107,0.8371722624532038,-5.766657242418866e-09,0.0016805089959065535,0.0005831370957086573
102,S-108,-0.8614204078455021,-3.2443839588373e-10,0.003284186904380871,0.004720465320956736
103,Ui,0.8956032536047094,-4.0639154920598235e-08,0.004575782265436207,0.0034168994778845554
104,Hy,-0.005752491611468499,2.691641546362015e-09,0.006095005555388041,0.004977401182422823
105,AMR,0.4249611613131281,-6.873086805231267e-07,0.004132297252266811,0.0019057016230819414
