#LB_label,#LA_label,#ID,ChargeTransfer,la_nB,nO,AMW,nROCON,la_nHM,nPyrroles,la_Mp,la_nH,nR08,H-047,Total_MW,nH,la_Hy,la_Me,nRNH2,C-024,nCconjX
13,4,C6H2N4S2:C3H9Al,-0.12208,0,0,13.88,0,1,0,0.79,9,0,2,266.36,2,-0.646,0.93,0,2,0
13,5,C6H2N4S2:C2H5AlCl2,-0.12776,0,0,13.88,0,1,0,1.02,5,0,2,321.21,2,-0.359,0.99,0,2,0
13,6,C6H2N4S2:BH3,-0.29008,1,0,13.88,0,0,0,0.72,3,0,2,208.1,2,0.0,0.91,0,2,0
13,7,C6H2N4S2:BF3,-0.26378,1,0,13.88,0,0,0,0.67,0,0,2,262.07,2,0.0,1.3,0,2,0
13,8,C6H2N4S2:BCl3,-0.29376,1,0,13.88,0,0,0,1.36,0,0,2,311.42,2,0.0,1.16,0,2,0
13,9,C6H2N4S2:BBr3,-0.26078,1,0,13.88,0,0,0,1.73,0,0,2,444.77,2,0.0,1.09,0,2,0
13,10,C6H2N4S2:C18BF15,-0.3635,1,0,13.88,0,0,0,0.72,0,0,2,706.25,2,-0.525,1.2,0,2,0
13,11,C6H2N4S2:BI3,-0.11668,1,0,13.88,0,0,0,2.71,0,0,2,585.77,2,0.0,0.97,0,2,0
13,12,C6H2N4S2:O2S,-0.02492,0,0,13.88,0,0,0,0.85,0,0,2,258.33,2,0.0,1.24,0,2,0
14,1,C10H4N4S2:AlCl3,-0.14464,0,0,12.22,0,1,0,1.89,0,0,4,377.65,4,0.0,1.1,0,4,0
14,2,C10H4N4S2:AlH3,-0.13482,0,0,12.22,0,1,0,1.25,3,0,4,274.33,4,0.0,0.86,0,4,0
14,3,C10H4N4S2:C18F15Al,-0.16798,0,0,12.22,0,1,0,0.78,0,0,4,772.48,4,-0.525,1.19,0,4,0
14,4,C10H4N4S2:C3H9Al,-0.12974,0,0,12.22,0,1,0,0.79,9,0,4,316.42,4,-0.646,0.93,0,4,0
