#LB_label,#LA_label,#ID,ChargeTransfer,Me,nAT,nH,nROCON,nN(CO)2,nArX,N-075,la_AMW,la_nAT,la_nB,la_nHM,la_H-050
10,11,C6H4N2S:BI3,-0.17652,1.01,13,4,0,0,0,2,97.88,4,1,0,0
10,12,C6H4N2S:O2S,-0.03074,1.01,13,4,0,0,0,2,21.36,3,0,0,0
11,1,C6H3N2FS:AlCl3,-0.152,1.05,13,3,0,0,1,2,33.33,4,0,1,0
11,2,C6H3N2FS:AlH3,-0.13864,1.05,13,3,0,0,1,2,7.5,4,0,1,3
11,3,C6H3N2FS:C18F15Al,-0.16582,1.05,13,3,0,0,1,2,15.53,34,0,1,0
11,4,C6H3N2FS:C3H9Al,-0.12724,1.05,13,3,0,0,1,2,5.55,13,0,1,0
11,5,C6H3N2FS:C2H5AlCl2,-0.13144,1.05,13,3,0,0,1,2,12.7,10,0,1,0
11,6,C6H3N2FS:BH3,-0.2967,1.05,13,3,0,0,1,2,3.46,4,1,0,3
11,7,C6H3N2FS:BF3,-0.2646,1.05,13,3,0,0,1,2,16.95,4,1,0,0
11,8,C6H3N2FS:BCl3,-0.29622,1.05,13,3,0,0,1,2,29.29,4,1,0,0
11,9,C6H3N2FS:BBr3,-0.2666,1.05,13,3,0,0,1,2,62.63,4,1,0,0
11,10,C6H3N2FS:C18BF15,-0.36924,1.05,13,3,0,0,1,2,15.06,34,1,0,0
11,11,C6H3N2FS:BI3,-0.16242,1.05,13,3,0,0,1,2,97.88,4,1,0,0
11,12,C6H3N2FS:O2S,-0.02704,1.05,13,3,0,0,1,2,21.36,3,0,0,0
12,1,C6H2N2F2S:AlCl3,-0.14932,1.09,13,2,0,0,2,2,33.33,4,0,1,0
12,2,C6H2N2F2S:AlH3,-0.13678,1.09,13,2,0,0,2,2,7.5,4,0,1,3
12,3,C6H2N2F2S:C18F15Al,-0.1625,1.09,13,2,0,0,2,2,15.53,34,0,1,0
12,4,C6H2N2F2S:C3H9Al,-0.12726,1.09,13,2,0,0,2,2,5.55,13,0,1,0
12,5,C6H2N2F2S:C2H5AlCl2,-0.12934,1.09,13,2,0,0,2,2,12.7,10,0,1,0
12,6,C6H2N2F2S:BH3,-0.29572,1.09,13,2,0,0,2,2,3.46,4,1,0,3
12,7,C6H2N2F2S:BF3,-0.26272,1.09,13,2,0,0,2,2,16.95,4,1,0,0
12,8,C6H2N2F2S:BCl3,-0.2944,1.09,13,2,0,0,2,2,29.29,4,1,0,0
12,9,C6H2N2F2S:BBr3,-0.26428,1.09,13,2,0,0,2,2,62.63,4,1,0,0
12,10,C6H2N2F2S:C18BF15,-0.37078,1.09,13,2,0,0,2,2,15.06,34,1,0,0
12,11,C6H2N2F2S:BI3,-0.15226,1.09,13,2,0,0,2,2,97.88,4,1,0,0
12,12,C6H2N2F2S:O2S,-0.0247,1.09,13,2,0,0,2,2,21.36,3,0,0,0
13,1,C6H2N4S2:AlCl3,-0.1524,1.05,14,2,0,0,0,4,33.33,4,0,1,0
13,2,C6H2N4S2:AlH3,-0.13842,1.05,14,2,0,0,0,4,7.5,4,0,1,3
13,3,C6H2N4S2:C18F15Al,-0.16316,1.05,14,2,0,0,0,4,15.53,34,0,1,0
13,4,C6H2N4S2:C3H9Al,-0.12208,1.05,14,2,0,0,0,4,5.55,13,0,1,0
13,5,C6H2N4S2:C2H5AlCl2,-0.12776,1.05,14,2,0,0,0,4,12.7,10,0,1,0
13,6,C6H2N4S2:BH3,-0.29008,1.05,14,2,0,0,0,4,3.46,4,1,0,3
13,7,C6H2N4S2:BF3,-0.26378,1.05,14,2,0,0,0,4,16.95,4,1,0,0
13,8,C6H2N4S2:BCl3,-0.29376,1.05,14,2,0,0,0,4,29.29,4,1,0,0
13,9,C6H2N4S2:BBr3,-0.26078,1.05,14,2,0,0,0,4,62.63,4,1,0,0
13,10,C6H2N4S2:C18BF15,-0.3635,1.05,14,2,0,0,0,4,15.06,34,1,0,0
13,11,C6H2N4S2:BI3,-0.11668,1.05,14,2,0,0,0,4,97.88,4,1,0,0
13,12,C6H2N4S2:O2S,-0.02492,1.05,14,2,0,0,0,4,21.36,3,0,0,0
14,1,C10H4N4S2:AlCl3,-0.14464,1.03,20,4,0,0,0,4,33.33,4,0,1,0
14,2,C10H4N4S2:AlH3,-0.13482,1.03,20,4,0,0,0,4,7.5,4,0,1,3
14,3,C10H4N4S2:C18F15Al,-0.16798,1.03,20,4,0,0,0,4,15.53,34,0,1,0
14,4,C10H4N4S2:C3H9Al,-0.12974,1.03,20,4,0,0,0,4,5.55,13,0,1,0
14,5,C10H4N4S2:C2H5AlCl2,-0.14296,1.03,20,4,0,0,0,4,12.7,10,0,1,0
14,6,C10H4N4S2:BH3,-0.3004,1.03,20,4,0,0,0,4,3.46,4,1,0,3
14,7,C10H4N4S2:BF3,-0.26332,1.03,20,4,0,0,0,4,16.95,4,1,0,0
14,8,C10H4N4S2:BCl3,-0.27858,1.03,20,4,0,0,0,4,29.29,4,1,0,0
14,9,C10H4N4S2:BBr3,-0.2471,1.03,20,4,0,0,0,4,62.63,4,1,0,0
14,10,C10H4N4S2:C18BF15,-0.3611,1.03,20,4,0,0,0,4,15.06,34,1,0,0
14,11,C10H4N4S2:BI3,-0.14706,1.03,20,4,0,0,0,4,97.88,4,1,0,0
14,12,C10H4N4S2:O2S,-0.02186,1.03,20,4,0,0,0,4,21.36,3,0,0,0
15,1,C5H5N:AlCl3,-0.16168,0.99,11,5,0,0,0,1,33.33,4,0,1,0
15,2,C5H5N:AlH3,-0.15164,0.99,11,5,0,0,0,1,7.5,4,0,1,3
15,3,C5H5N:C18F15Al,-0.17006,0.99,11,5,0,0,0,1,15.53,34,0,1,0
15,4,C5H5N:C3H9Al,-0.1417,0.99,11,5,0,0,0,1,5.55,13,0,1,0
15,5,C5H5N:C2H5AlCl2,-0.14758,0.99,11,5,0,0,0,1,12.7,10,0,1,0
15,6,C5H5N:BH3,-0.32264,0.99,11,5,0,0,0,1,3.46,4,1,0,3
15,7,C5H5N:BF3,-0.2986,0.99,11,5,0,0,0,1,16.95,4,1,0,0
15,8,C5H5N:BCl3,-0.31622,0.99,11,5,0,0,0,1,29.29,4,1,0,0
15,9,C5H5N:BBr3,-0.29592,0.99,11,5,0,0,0,1,62.63,4,1,0,0
15,10,C5H5N:C18BF15,-0.37174,0.99,11,5,0,0,0,1,15.06,34,1,0,0
15,11,C5H5N:BI3,-0.25648,0.99,11,5,0,0,0,1,97.88,4,1,0,0
15,12,C5H5N:O2S,-0.12582,0.99,11,5,0,0,0,1,21.36,3,0,0,0
16,1,C5H4NF:AlCl3,-0.16624,1.03,11,4,0,0,1,1,33.33,4,0,1,0
16,2,C5H4NF:AlH3,-0.15344,1.03,11,4,0,0,1,1,7.5,4,0,1,3
16,3,C5H4NF:C18F15Al,-0.18388,1.03,11,4,0,0,1,1,15.53,34,0,1,0
16,4,C5H4NF:C3H9Al,-0.14566,1.03,11,4,0,0,1,1,5.55,13,0,1,0
16,5,C5H4NF:C2H5AlCl2,-0.15746,1.03,11,4,0,0,1,1,12.7,10,0,1,0
16,6,C5H4NF:BH3,-0.31376,1.03,11,4,0,0,1,1,3.46,4,1,0,3
16,7,C5H4NF:BF3,-0.27132,1.03,11,4,0,0,1,1,16.95,4,1,0,0
16,8,C5H4NF:BCl3,-0.31048,1.03,11,4,0,0,1,1,29.29,4,1,0,0
16,9,C5H4NF:BBr3,-0.2953,1.03,11,4,0,0,1,1,62.63,4,1,0,0
16,10,C5H4NF:C18BF15,-0.36854,1.03,11,4,0,0,1,1,15.06,34,1,0,0
16,11,C5H4NF:BI3,-0.24738,1.03,11,4,0,0,1,1,97.88,4,1,0,0
16,12,C5H4NF:O2S,-0.07472,1.03,11,4,0,0,1,1,21.36,3,0,0,0
17,1,C6H7N:AlCl3,-0.1676,0.98,14,7,0,0,0,1,33.33,4,0,1,0
17,2,C6H7N:AlH3,-0.15838,0.98,14,7,0,0,0,1,7.5,4,0,1,3
17,3,C6H7N:C18F15Al,-0.18362,0.98,14,7,0,0,0,1,15.53,34,0,1,0
17,4,C6H7N:C3H9Al,-0.15246,0.98,14,7,0,0,0,1,5.55,13,0,1,0
17,5,C6H7N:C2H5AlCl2,-0.1576,0.98,14,7,0,0,0,1,12.7,10,0,1,0
17,6,C6H7N:BH3,-0.32724,0.98,14,7,0,0,0,1,3.46,4,1,0,3
17,7,C6H7N:BF3,-0.30354,0.98,14,7,0,0,0,1,16.95,4,1,0,0
17,8,C6H7N:BCl3,-0.31426,0.98,14,7,0,0,0,1,29.29,4,1,0,0
17,9,C6H7N:BBr3,-0.29314,0.98,14,7,0,0,0,1,62.63,4,1,0,0
17,10,C6H7N:C18BF15,-0.3769,0.98,14,7,0,0,0,1,15.06,34,1,0,0
17,11,C6H7N:BI3,-0.25672,0.98,14,7,0,0,0,1,97.88,4,1,0,0
17,12,C6H7N:O2S,-0.13514,0.98,14,7,0,0,0,1,21.36,3,0,0,0
18,1,NH3:AlCl3,-0.18562,1.0,4,3,0,0,0,0,33.33,4,0,1,0
18,2,NH3:AlH3,-0.17416,1.0,4,3,0,0,0,0,7.5,4,0,1,3
18,3,NH3:C18F15Al,-0.19356,1.0,4,3,0,0,0,0,15.53,34,0,1,0
18,4,NH3:C3H9Al,-0.1695,1.0,4,3,0,0,0,0,5.55,13,0,1,0
18,5,NH3:C2H5AlCl2,-0.17902,1.0,4,3,0,0,0,0,12.7,10,0,1,0
18,6,NH3:BH3,-0.35796,1.0,4,3,0,0,0,0,3.46,4,1,0,3
18,7,NH3:BF3,-0.30406,1.0,4,3,0,0,0,0,16.95,4,1,0,0
18,8,NH3:BCl3,-0.35168,1.0,4,3,0,0,0,0,29.29,4,1,0,0
18,9,NH3:BBr3,-0.34132,1.0,4,3,0,0,0,0,62.63,4,1,0,0
18,10,NH3:C18BF15,-0.39134,1.0,4,3,0,0,0,0,15.06,34,1,0,0
18,11,NH3:BI3,-0.31084,1.0,4,3,0,0,0,0,97.88,4,1,0,0
18,12,NH3:O2S,-0.09924,1.0,4,3,0,0,0,0,21.36,3,0,0,0
19,1,CH5N:AlCl3,-0.17356,0.98,7,5,0,0,0,0,33.33,4,0,1,0
19,2,CH5N:AlH3,-0.1686,0.98,7,5,0,0,0,0,7.5,4,0,1,3
19,3,CH5N:C18F15Al,-0.18526,0.98,7,5,0,0,0,0,15.53,34,0,1,0
19,4,CH5N:C3H9Al,-0.16026,0.98,7,5,0,0,0,0,5.55,13,0,1,0
19,5,CH5N:C2H5AlCl2,-0.16818,0.98,7,5,0,0,0,0,12.7,10,0,1,0
19,6,CH5N:BH3,-0.35942,0.98,7,5,0,0,0,0,3.46,4,1,0,3
19,7,CH5N:BF3,-0.31126,0.98,7,5,0,0,0,0,16.95,4,1,0,0
19,8,CH5N:BCl3,-0.34326,0.98,7,5,0,0,0,0,29.29,4,1,0,0
19,9,CH5N:BBr3,-0.33016,0.98,7,5,0,0,0,0,62.63,4,1,0,0
19,10,CH5N:C18BF15,-0.39548,0.98,7,5,0,0,0,0,15.06,34,1,0,0
19,11,CH5N:BI3,-0.3012,0.98,7,5,0,0,0,0,97.88,4,1,0,0
19,12,CH5N:O2S,-0.1548,0.98,7,5,0,0,0,0,21.36,3,0,0,0
20,1,C2H7N:AlCl3,-0.16264,0.98,10,7,0,0,0,0,33.33,4,0,1,0
20,2,C2H7N:AlH3,-0.15608,0.98,10,7,0,0,0,0,7.5,4,0,1,3
20,3,C2H7N:C18F15Al,-0.17594,0.98,10,7,0,0,0,0,15.53,34,0,1,0
20,4,C2H7N:C3H9Al,-0.14752,0.98,10,7,0,0,0,0,5.55,13,0,1,0
20,5,C2H7N:C2H5AlCl2,-0.15544,0.98,10,7,0,0,0,0,12.7,10,0,1,0
20,6,C2H7N:BH3,-0.35029,0.98,10,7,0,0,0,0,3.46,4,1,0,3
20,7,C2H7N:BF3,-0.3051,0.98,10,7,0,0,0,0,16.95,4,1,0,0
20,8,C2H7N:BCl3,-0.32704,0.98,10,7,0,0,0,0,29.29,4,1,0,0
20,9,C2H7N:BBr3,-0.31312,0.98,10,7,0,0,0,0,62.63,4,1,0,0
20,10,C2H7N:C18BF15,-0.38534,0.98,10,7,0,0,0,0,15.06,34,1,0,0
20,11,C2H7N:BI3,-0.2871,0.98,10,7,0,0,0,0,97.88,4,1,0,0
20,12,C2H7N:O2S,-0.1882,0.98,10,7,0,0,0,0,21.36,3,0,0,0
21,1,C3H9N:AlCl3,-0.14898,0.97,13,9,0,0,0,0,33.33,4,0,1,0
21,2,C3H9N:AlH3,-0.14104,0.97,13,9,0,0,0,0,7.5,4,0,1,3
21,3,C3H9N:C18F15Al,-0.16274,0.97,13,9,0,0,0,0,15.53,34,0,1,0
21,4,C3H9N:C3H9Al,-0.13346,0.97,13,9,0,0,0,0,5.55,13,0,1,0
21,5,C3H9N:C2H5AlCl2,-0.14134,0.97,13,9,0,0,0,0,12.7,10,0,1,0
21,6,C3H9N:BH3,-0.3324,0.97,13,9,0,0,0,0,3.46,4,1,0,3
21,7,C3H9N:BF3,-0.2895,0.97,13,9,0,0,0,0,16.95,4,1,0,0
21,8,C3H9N:BCl3,-0.3046,0.97,13,9,0,0,0,0,29.29,4,1,0,0
21,9,C3H9N:BBr3,-0.29132,0.97,13,9,0,0,0,0,62.63,4,1,0,0
21,10,C3H9N:C18BF15,-0.3461,0.97,13,9,0,0,0,0,15.06,34,1,0,0
21,11,C3H9N:BI3,-0.26952,0.97,13,9,0,0,0,0,97.88,4,1,0,0
21,12,C3H9N:O2S,-0.20366,0.97,13,9,0,0,0,0,21.36,3,0,0,0
22,1,CHN:AlCl3,-0.14508,1.03,3,1,0,0,0,0,33.33,4,0,1,0
22,2,CHN:AlH3,-0.13308,1.03,3,1,0,0,0,0,7.5,4,0,1,3
22,3,CHN:C18F15Al,-0.16824,1.03,3,1,0,0,0,0,15.53,34,0,1,0
22,4,CHN:C3H9Al,-0.1296,1.03,3,1,0,0,0,0,5.55,13,0,1,0
22,5,CHN:C2H5AlCl2,-0.13958,1.03,3,1,0,0,0,0,12.7,10,0,1,0
22,6,CHN:BH3,-0.26836,1.03,3,1,0,0,0,0,3.46,4,1,0,3
22,7,CHN:BF3,-0.05116,1.03,3,1,0,0,0,0,16.95,4,1,0,0
22,8,CHN:BCl3,-0.28674,1.03,3,1,0,0,0,0,29.29,4,1,0,0
22,9,CHN:BBr3,-0.26818,1.03,3,1,0,0,0,0,62.63,4,1,0,0
22,10,CHN:C18BF15,-0.35422,1.03,3,1,0,0,0,0,15.06,34,1,0,0
22,11,CHN:BI3,-0.19632,1.03,3,1,0,0,0,0,97.88,4,1,0,0
23,1,C2H3N:AlCl3,-0.16194,1.0,6,3,0,0,0,0,33.33,4,0,1,0
23,2,C2H3N:AlH3,-0.15014,1.0,6,3,0,0,0,0,7.5,4,0,1,3
23,3,C2H3N:C18F15Al,-0.19064,1.0,6,3,0,0,0,0,15.53,34,0,1,0
23,4,C2H3N:C3H9Al,-0.14608,1.0,6,3,0,0,0,0,5.55,13,0,1,0
23,5,C2H3N:C2H5AlCl2,-0.1562,1.0,6,3,0,0,0,0,12.7,10,0,1,0
23,6,C2H3N:BH3,-0.28739,1.0,6,3,0,0,0,0,3.46,4,1,0,3
23,7,C2H3N:BF3,-0.20008,1.0,6,3,0,0,0,0,16.95,4,1,0,0
23,8,C2H3N:BCl3,-0.31718,1.0,6,3,0,0,0,0,29.29,4,1,0,0
23,9,C2H3N:BBr3,-0.30024,1.0,6,3,0,0,0,0,62.63,4,1,0,0
23,10,C2H3N:C18BF15,-0.3811,1.0,6,3,0,0,0,0,15.06,34,1,0,0
23,11,C2H3N:BI3,-0.23684,1.0,6,3,0,0,0,0,97.88,4,1,0,0
24,1,C3H3N3:AlCl3,-0.15124,1.03,9,3,0,0,0,3,33.33,4,0,1,0
24,2,C3H3N3:AlH3,-0.14066,1.03,9,3,0,0,0,3,7.5,4,0,1,3
24,3,C3H3N3:C18F15Al,-0.15848,1.03,9,3,0,0,0,3,15.53,34,0,1,0
24,4,C3H3N3:C3H9Al,-0.13228,1.03,9,3,0,0,0,3,5.55,13,0,1,0
24,5,C3H3N3:C2H5AlCl2,-0.14146,1.03,9,3,0,0,0,3,12.7,10,0,1,0
24,6,C3H3N3:BH3,-0.30546,1.03,9,3,0,0,0,3,3.46,4,1,0,3
24,7,C3H3N3:BF3,-0.27408,1.03,9,3,0,0,0,3,16.95,4,1,0,0
